MSRR7015 Wire - Nimonic,Nimonic 9016,UK.609
alloy,SWG spool,
"_________________________________________________________________________________",,
MSRR8042 Aluminium,CR111-3/,UK.453
honeycomb,4-5052-0.0025,NA.312
"",slotted,EU.120
"_________________________________________________________________________________",,
MSRR8042 Aluminium,CR111-3/,UK.453
honeycomb,4-5052-0.0025N,NA.312
"",slotted,EU.120
"_________________________________________________________________________________",,
MSRR8042 Aluminium,PAA-3/,UK.453
honeycomb,4-5052-0.0025,NA.312
"",slotted,EU.120
"_________________________________________________________________________________",,
MSRR8046 Aluminium,CR111-1/,UK.453
honeycomb,4-5052-0.0015N,NA.312
"",,EU.120
"_________________________________________________________________________________",,
MSRR8047 Aluminium,CR111-1/,UK.453
honeycomb,4-5052-0.0025,NA.312
"",,EU.120
"_________________________________________________________________________________",,
MSRR8047 Aluminium,PAA-1/,UK.453
honeycomb,4-5052-0.0025,NA.312
"",un-slotted,EU.120
"_________________________________________________________________________________",,
MSRR8049 Aluminium,CR111-1/,UK.453
honeycomb,2-5052-0.004,NA.312
"",slotted,EU.120
"_________________________________________________________________________________",,
MSRR8049 Aluminium,PAA-1/,UK.453
honeycomb,2-5052-0.004,NA.312
"",slotted,EU.120
"_________________________________________________________________________________",,
MSRR8066 Aluminium,Higrid,UK.639
honeycomb,(55lb/ft3),
"_________________________________________________________________________________",,
MSRR8067 Aluminium,CR111-3/,NA.312
honeycomb,8-5052-0.0015N,EU.120
"_________________________________________________________________________________",,
MSRR8070 Aluminium,ALC-1/,UK.453
honeycomb,8-5052-006N-22.,NA.312
"",0,
MSRR8070 Aluminium,CRV-1/,NA.312
honeycomb,8-5052-22.,
"",1-STD-RF,
"________________________________________________________________________________",,
MSRR8070 Aluminium,22.,UK.639
honeycomb,1-1/,
"",8-0.006-5052,
"________________________________________________________________________________",,
MSRR8087 Aluminium,CR111-1/,UK.453
honeycomb,4-5052-0.001N,NA.312
"",,EU.120
"________________________________________________________________________________",,
MSRR8088 Aluminium,CR111-3/,UK.453
honeycomb,8-5052-0.001N,EU.120
"________________________________________________________________________________",,
MSRR8092 Aluminium,CR111-1/,UK.453
honeycomb,4-5052-0.004N,NA.312
"",,EU.120
"________________________________________________________________________________",,
MSRR8093 Aluminium,CR111-3/,UK.453
honeycomb,4-5052-0.0025N,NA.312
"",,EU.120
"________________________________________________________________________________",,
MSRR8095 Aluminium,CR111-1/,UK.453
honeycomb,2-5052-0.004N,NA.312
"",,EU.120
"________________________________________________________________________________",,
MSRR8095 Aluminium,AA5052,UK.453
honeycomb,Al-2.5Mg0.25Cr,NA.312
"",Phosphoric Acid,
"",Anodised,
"",12.7mm cell,
"","size, 0.1mm",
"",thick,
"",unslotted,
"________________________________________________________________________________",,
MSRR8106 Aluminium,3.18 mm cell,NA.312
honeycomb (5052),"size, 0.076 mm",EU.120
"",foil thickness,
"________________________________________________________________________________",,
MSRR8107 Aluminium,4.76 mm cell,NA.312
honeycomb,"size, 0.076 mm",EU.120
"",foil thickness,
MSRR8701 Titanium,9.5 mm cell,Rolls-Royce,
honeycomb,"size, 0.088 mm",,
"",foil thickness,,
"_________________________________________________________________________________",,,
MSRR8702 Titanium,4.76 mm cell,Rolls-Royce,
honeycomb,"size, 0.113 mm",,
"",foil thickness,,
"_________________________________________________________________________________",,,
MSRR8703 Titanium,9.5 mm cell,Rolls-Royce,
honeycomb,"size, 0.238 mm",,
"",foil thickness,,
"_________________________________________________________________________________",,,
MSRR9005 Glass fabric,SLO15/03,UK.587,
prepreg,R-R code VAE,,
"_________________________________________________________________________________",,,
MSRR9012 Wearaway,NML.46,UK.10,7/78
coating,MSRR 9012,UK.261,
"",,NA.2,
"_________________________________________________________________________________",,,
MSRR9012 Epoxy attrition,Epoxy resin,UK.13,
coating - resin,,,
"_________________________________________________________________________________",,,
MSRR9012 Epoxy attrition,Talc + best,,
coating - filler,Italian rubber,,
"",grade 07470,,
"_________________________________________________________________________________",,,
MSRR9016 Heat curing,Eccobond 104,UK.10,836
epoxide resin,Filled grade,UK.6,
adhesive,Parts A and B,UK.261,
"",MSRR 9016,UK.517,
"",,UK.558,
"",,NA.82,
"",,NA.2,
"",,EU.72,
"",,LOCAL,
"_________________________________________________________________________________",,,
MSRR9016 Heat curing,Eccobond 104,UK.10,8/163
epoxide resin,Standard grade,UK.261,
adhesive,Parts A and B,NA.82,
"",MSRR 9016,NA.2,
"",,EU.72,
"",,Local,
"_________________________________________________________________________________",,,
MSRR9024 Film adhesive,Redux 308,UK.273,894
"",MSRR 9024,UK.48,
MSRR9026 Adhesive -,NML 35,UK.261,8/207
Two part.,MSRR 9026,NA.2,
"________________________________________________________________________________",,,
MSRR9026 Resin,Rengel,UK.273,805
"",SV.409,UK.10,
"",AFS 712,UK.6,
"",NML 35,UK.237,
"",(MSRR 9026),UK.261,
"",,UK.517,
"",,NA.89,
"",,NA.2,
"",,EU.74,
"________________________________________________________________________________",,,
MSRR9026 Hardener,Crayamid 140,UK.10,806
"",AFS 525,UK.6,
"",(MSRR 9026),UK.273,
"",,UK.328,
"",,UK.517,
"",,NA.153,
"",,UK.261,
"",,NA.2,
"",,LOCAL,
"________________________________________________________________________________",,,
MSRR9027 Ceramic filled,Rulon LD,UK.584,
PTFE,,,
"________________________________________________________________________________",,,
MSRR9029 Heat resistant,IP9139,UK.261,
aluminium paint,,,
"________________________________________________________________________________",,,
MSRR9029 High-Heat,Deleted,,7/1A
Resisting,,,
Stoving Enamel,,,
"________________________________________________________________________________",,,
MSRR9029 High-Heat,IP 9029 R3,UK.10,7/1D
Resisting,MSRR 9029,UK.261,
Stoving Enamel,R-R code VPC,NA.2,
"________________________________________________________________________________",,,
MSRR9029 Heat resisting,IP 9029,UK.261,
aluminium paint,IP 9029 R1,,
"",R-R code VPC,,
"________________________________________________________________________________",,,
MSRR9029 Thinner,IP 9151,UK.10,7/183
"",(MSRR 9029),UK.261,
"",,NA.2,
MSRR9034 Foaming,Redux 208/4 NA,UK.10,893
adhesive,(R-R code VFH),UK.48,
"",Redux 208/5 NA,UK.453,
"",(R-R code VRD).,UK.517,
"",MSRR 9034,,
"_________________________________________________________________________________",,,
"MSRR9036 Adhesive, heat",EC2214HTNF/,EU.95,
curing one-part,EC3491,NA.304,
epoxy paste,EC2214HT/EC3491,,
"",R-R code VJN,,
"_________________________________________________________________________________",,,
"MSRR9036 Adhesive, heat",EC 2214HT,UK.10,8/210
curing one-part,Scotchweld,UK.108,
epoxy paste,(R-R code VJN),NA.70,
"",MSRR 9036,NA.304,
"_________________________________________________________________________________",,,
MSRR9040 Air Drying,PL82.C3,UK.10,7/22
High Heat,MSRR 9040,,
Resisting,,,
Touch-Up Enamel,,,
Aluminium,,,
"_________________________________________________________________________________",,,
MSRR9040 Air Drying,IP 9138,UK.10,7/22B
